Species	Sample	makaluvamine	bromomakaluvamine	bromoorthoquinone	hydroxydiscorhabdin	dibromodiscorhabdin	tsitsikammamine	tribromodiscorhabdin	dihydrodiscorhabdin	discorhabdin I	discorhabdin A-series
T_favus_Chemotype_I	TIC2016_050A	3.584869113	0.020187986	1.455934168	0.008379228	0.066096293	35.90153023	58.83894161	0.12406137	0	0
T_favus_Chemotype_I	TIC2016_050AD	0.268853537	0	0.069283699	0.010504353	0.029750893	42.29907165	57.16389665	0.158639215	0	0
T_favus_Chemotype_I	TIC2016_050AW	0.783878924	0	0.024642187	0.007371434	0.030503232	58.50853069	40.50949712	0.133471568	0.002104845	0
T_favus_Chemotype_I	TIC2016_050B	2.491710159	0.001980708	1.017187961	0.002044865	0.022669593	34.85826638	61.49657976	0.109560579	0	0
T_favus_Chemotype_I	TIC2016_050D	0.300752716	0.000969022	0.111537251	0.020926272	0.076307015	16.95023208	75.97796812	6.558501813	0.002805714	0
T_favus_Chemotype_I	TIC2018_003A	0	0	0.165054821	0	0.217707203	14.40574982	84.20281218	1.008675975	0	0
T_favus_Chemotype_I	TIC2018_003B	0	0	0	0	5.956824574	32.22179149	61.82138393	0	0	0
T_favus_Chemotype_I	TIC2018_003E	0.011111825	0.00832893	0.046150882	0	0.23403098	34.15416284	65.23732282	0.308891726	0	0
T_favus_Chemotype_I	TIC2018_003F	0	0	0	0	3.636828939	18.83758331	77.2815946	0.243993144	0	0
T_favus_Chemotype_I	TIC2018_003G	0	0	0	0	0.047268864	19.59341086	80.3500657	0.009254571	0	0
T_favus_Chemotype_I	TIC2018_003I	0	0	0	0	0.254486602	31.42581832	68.09739289	0.222302194	0	0
T_favus_Chemotype_I	TIC2018_003J	1.148140517	0.062186805	0	0.012333546	2.438545177	14.86938469	80.53981558	0.016402945	0.876006958	0.037183785
T_favus_Chemotype_I	TIC2021_043	7.269006525	0	0	0	0	0	92.73099347	0	0	0
T_favus_Chemotype_II	TIC2016_050AH	17.96058986	19.28985107	62.62654427	0	0	0.123014803	0	0	0	0
T_favus_Chemotype_II	TIC2016_050C	55.61166453	27.89455416	16.4641759	0	0	0.02960541	0	0	0	0
T_favus_Chemotype_II	TIC2018_003C	0	0	0	0	0	38.38753847	61.61246153	0	0	0
T_favus_Chemotype_II	TIC2018_003D	24.06012438	28.22616251	47.46169031	0	0	0.252022791	0	0	0	0
T_favus_Chemotype_II	TIC2018_003H	29.70598982	37.3150163	32.97899388	0	0	0	0	0	0	0
T_favus_Chemotype_II	TIC2018_003M	37.80805872	62.10551598	0	0	0	0.085090416	0	0	0.001334883	0
T_michaeli_Chemotype_I	TIC2017_026	2.117016155	0	0	0.000502433	0.222473408	0	97.6092817	0.050281079	0.000445225	0
T_michaeli_Chemotype_I	TIC2017_028	4.355466942	0.067009532	0.01134432	0.061671638	0.296524995	0.000439254	95.11887708	0.088108229	0.000558013	0
T_michaeli_Chemotype_I	TIC2017_030	12.37877605	0.0472704	0.185084186	0.012732126	0.812153896	0.002166285	86.20808462	0.353508982	0.000223462	0
T_michaeli_Chemotype_I	TIC2017_034	0.00188603	0	0	0	0	0	99.99811397	0	0	0
T_michaeli_Chemotype_II	TIC2015_201	0.335619339	0	0	47.28677846	36.45140077	0	15.87729163	0.048909815	0	0
T_michaeli_Chemotype_II	TIC2015_202	0.377531425	0	0	42.1757628	36.06094192	0	21.36619322	0.019570624	0	0
T_michaeli_Chemotype_II	TIC2015_204	0.673139348	0	0	42.76612747	34.8534298	0.008193354	21.68063152	0.018478518	0	0
T_michaeli_Chemotype_II	TIC2019_013N	0	0	0	33.02134426	34.7857285	0	32.18436831	0.008558933	0	0
