Sample	OTU1	OTU2	OTU3	OTU4	OTU5	OTU6	OTU7	OTU8	OTU9	OTU10	OTU11	OTU12	OTU13	OTU14	OTU15	OTU16	OTU17	OTU19	OTU20
TIC2012_057	35.89391555	0.073669759	0.006697251	4.011653216	1.664266818	0.164082644	0.274587282	0.023440378	0.036834879	0.013394502	0.291330409	0.016743127	0.006697251	29.90322473	0.013394502	0.2109634	0.097110136	0.003348625	0.010045876
TIC2014_001	62.22347869	0.120149834	0.007067637	6.912149268	1.865856244	0.007067637	0.537140434	0.035338186	0	0.007067637	0.113082197	0	0.007067637	0.212029119	1.682097675	0.098946922	0	0.007067637	0.014135275
TIC2015_013	60.2034498	3.905351614	0.048651039	8.752764264	1.862007961	1.472799646	0.37593985	0.066342326	0.544007077	0.017691287	0.278637771	0.026536931	0.013268465	1.136665192	0.353825741	0.106147722	0.057496683	0.004422822	0.044228218
TIC2016_050A	62.77788819	0.176031345	0.014196076	5.729536356	7.276908662	1.479231141	0.349223475	0.300956816	0.017035291	0	0.11924704	0.022713722	0.017035291	0.068141166	0.068141166	0.036909798	0	0	0
TIC2016_050AD	55.60651227	0.372620958	0	3.817931667	7.251777115	0.137583123	1.066269204	0.01719789	0.034395781	0	0.292364137	0	0.00573263	0.120385233	0.44141252	0	0	0	0.00573263
TIC2016_050AH	41.26906705	2.097374956	0	4.004079461	2.447676481	4.376551969	0.004434197	0.097552324	0.177367861	0	0.243880809	0	0	0.044341965	0.336998936	0.08868393	0.053210358	0	0.008868393
TIC2016_050AW	56.08840525	0.430216374	0	5.255388249	1.999240795	0.62845333	0.721245097	0.012653423	0.029524653	0	0.324771184	0.004217808	0.008435615	0.303682146	0.76764098	0	0.012653423	0	0.012653423
TIC2016_050B	60.39175124	0.491305191	0	4.447604887	3.626608055	3.161161032	0.265046221	0.09696813	0.025858168	0.006464542	0.265046221	0.006464542	0.006464542	0.187471718	0.213329886	0	1.325231107	0	0
TIC2016_050C	41.13660063	0.399721933	0.017379214	2.850191171	0.104275287	0.260688217	0.034758429	0.104275287	0.052137643	0.017379214	0.121654501	0	0	0.573514077	0.364963504	0.191171359	0	0	0.017379214
TIC2016_050D	33.41798141	4.570996326	0	1.783012751	7.764210071	1.426410201	0.923924789	0.210719689	0.237735033	0	0.129673655	0.016209207	0.021612276	3.663280743	0.956343203	0.032418414	0.010806138	0	0.010806138
TIC2018_003A	33.91259544	0.936812029	0.096023233	3.822193077	15.29345637	5.058784955	4.693428264	0.110075413	0.072602932	0	0.690898871	0.00468406	0	0.00234203	0.016394211	0.00702609	1.918122629	0	0.00234203
TIC2018_003B	35.92368753	0.60887606	0.108244633	3.99603103	14.72578026	5.263395273	4.514703229	0.126285405	0.049612123	0	0.856936677	0.013530579	0	0.099224247	0.027061158	0.013530579	2.115280534	0	0
TIC2018_003C	35.5293591	0.578228755	0.063418638	3.756621652	15.59352384	5.222711333	4.696709692	0.070879654	0.05968813	0	0.6453779	0.007461016	0	0.033574573	0.014922032	0.007461016	1.988360815	0	0
TIC2018_003D	33.92857143	0.754233246	0.131170999	3.517767708	13.29895063	12.54173623	4.418077749	0.0655855	0.101359409	0	0.545552111	0.011924636	0	0.005962318	0	0.008943477	1.958621512	0.002981159	0
TIC2018_003E	38.49499978	1.183909592	0.103143639	3.982241356	14.39974887	4.699762321	4.417238441	0.103143639	0.107628145	0	0.582985784	0.004484506	0	0.008969012	0.013453518	0.013453518	1.9328221	0	0.004484506
TIC2018_003F	39.4136711	0.544108465	0.059465406	4.222043826	15.18151815	5.015906996	4.495584694	0.080278298	0.059465406	0	0.526268843	0.00297327	0	0.00297327	0.008919811	0	1.858293938	0	0
TIC2018_003G	27.17803866	1.346102922	0.026480713	2.603936799	12.89169388	1.871303734	0.869450084	0.052961426	0.14123047	0	1.04157472	0.008826904	0	0.163297731	0.008826904	0.017653809	2.943772619	0	0
TIC2018_003H	32.53898666	1.565729317	1.390367633	3.297425941	7.415294044	7.186697564	2.329805223	0.062629173	0.187887518	0	0.673263606	0.025051669	0	0.009394376	0.012525835	0.031314586	6.32554644	0	0
TIC2018_003I	35.69398695	0.313246787	0.138861978	3.83969515	11.57721372	3.077568947	3.871988633	0.145320674	0.022605438	0	1.38216108	0.01937609	0.041981528	0.361687012	0.003229348	0.006458697	7.107795647	0.003229348	0.051669573
TIC2018_003J	30.13047111	0.880519314	0.012854297	2.702615849	9.566810206	1.77067935	1.950639501	0.070698631	0.070698631	0	1.012275853	0.035349316	0	0.787325664	0.012854297	0.025708593	2.133813227	0	0.006427148
TIC2018_003M	20.30926959	1.121527089	0.033985669	1.937183154	4.500269053	23.00263389	1.016737942	0.022657113	0.107621286	0	0.911948795	0.002832139	0.002832139	0.019824974	0.008496417	0	4.259537228	0	0.011328556
TIC2018_007A	38.88556864	4.063983125	0.622253472	2.612058358	25.26981895	2.415187203	4.151872034	0.059764458	0.274213394	0	0.984355774	0	0	0.059764458	0.024608894	0.007031113	3.255405168	0	0
TIC2018_007B	42.5862069	1.810344828	0	3.976293103	8.615301724	0.113146552	0.167025862	0.140086207	0.145474138	0	0.743534483	0.016163793	0	0.064655172	0.032327586	0.064655172	2.359913793	0	0
TIC2018_007C	35.84014119	1.884375623	0.045543822	3.580882981	17.88448948	5.203381629	5.24892545	0.054083288	0.176482309	0	0.518060972	0.005692978	0	0	0.034157866	0.008539467	4.67678119	0	0
TIC2018_007D	38.90977924	0.634384672	0	3.693755915	16.01309697	0.752052797	6.732663137	0.043486046	0.069066073	0	0.596014632	0.017906019	0	0.002558003	0.012790014	0.010232011	1.335277415	0	0
TIC2018_007E	38.12460193	0.622430664	0.110011001	2.909501476	16.2092525	5.955069191	5.297898211	0.08685079	0.052110474	0	0.480574373	0.008685079	0	0.005790053	0.017370158	0.017370158	2.061258757	0	0
TIC2018_014A	34.04178933	1.847729829	0.086163567	3.769656064	17.09628779	4.868241545	4.80361887	0.088557	0.213015486	0	0.636653024	0.016754027	0	0.011967162	0.021540892	0.011967162	2.448481367	0	0
TIC2018_014B	37.13606489	0.99286813	0.061529856	3.912739477	16.94028807	4.972731087	4.603551951	0.125856524	0.117466089	0	0.536987834	0.013984058	0	0.083904349	0.008390435	0.008390435	1.675290169	0	0
TIC2018_014C	38.47724807	0.820090625	0.19465186	4.011104729	16.5390261	4.614206395	5.536409471	0.204224903	0.092539409	0	0.568000511	0.006382028	0	0.118067522	0.015955071	0.009573042	1.58593401	0	0
TIC2018_014D	36.32348367	2.105754277	0.046656299	3.368584759	22.11508554	3.623639191	5.153965785	0.096423017	0.158631415	0	0.538102644	0.00622084	0	0.00933126	0.024883359	0.00311042	2.108864697	0	0
TIC2018_014E	33.71614955	3.494682601	0.02192742	3.204144282	21.23122465	2.209187589	4.201841903	0.079486898	0.290538318	0	0.904506085	0.008222783	0	0.049336696	0.019186493	0.002740928	2.521653327	0	0.002740928
TIC2015_003E	31.2578286	2.105135561	0.197987797	3.923390844	15.37435856	1.470766496	3.135480221	1.272778698	0.250515172	0.222231201	0.004040567	0.153541557	0.133338721	15.72992848	0.016162269	0.335367086	0.004040567	0.068689644	0.141419855
TIC2015_003F	52.88289058	1.742547194	0.183650807	5.637652686	6.090373281	0.657726147	0.60220381	0.119586572	0.217818399	0.183650807	0.025625694	0.076877082	0.064064235	10.92081661	0.017083796	0.811480311	0	0.051251388	0.081148031
TIC2015_003L	64.27106151	0.448524043	0.006953861	6.474044713	3.376099579	0.49372414	0.128646431	2.527728521	0.06258475	0.05910782	0.024338514	0.024338514	0.017384653	0.152984945	0.013907722	0.86227878	0	0	0.010430792
TIC2015_006A	41.4914552	0.217503884	0.341791818	1.833247022	23.13827033	2.744691869	0.466079751	1.543241844	0.020714656	0	0	0.134645262	0	0.082858622	0	1.460383221	0	0	0.010357328
TIC2015_006B	24.07837928	0.597808037	0.265692461	0.863500498	15.70906676	0.730654268	3.088674859	0.996346729	0	0.066423115	0.066423115	0.398538691	0.099634673	0.033211558	0.099634673	0.863500498	0	0	0
TIC2020_003	62.1187738	0.078502178	0.058876634	2.96541979	1.899752718	0.459237744	0.10990305	0.03532598	0.001962554	0	1.208933548	0.005887663	0.001962554	6.733524355	1.940966362	0.001962554	0	0	0
TIC2021_022	26.1654884	1.063427263	0.019914368	1.437817385	3.652295131	0.424176043	0.270835408	0.232998108	0.063725978	0	0.25689535	0.065717415	0	0.009957184	0.053768794	0.061734541	0	0.003982874	0
TIC2021_002	0.008102743	16.06166187	16.25815338	0.006077057	0.265364826	0.86091642	0.71506705	7.620629583	1.28428473	0	0.445650853	0.066847628	0	0.0141798	0.020256857	0.796094478	0	0	0
TIC2021_031	0.045015112	58.66326552	3.196072967	0.002143577	0.703093181	2.152151079	0.437289662	0.602345073	3.32040042	0	0.102891685	0.120040299	0.002143577	0.002143577	0.023579344	0.325823669	0	0.004287154	0
