Sample	bromomakaluvamine	discorhabdin A-series	tribromodiscorhabdin	dibromodiscorhabdin	hydroxydiscorhabdin	discorhabdin I	3-dihydrodiscorhabdin	tsitsikammamine	bromoorthoquinone	makaluvamine
TIC2012_057	0	0	0	0	0	0	0	0	0	0
TIC2014_001	0	0	0	0	0	0	0	0	0	0
TIC2015-003E	0	0	0.491218678414754	0.00236127327174709	9.83356875043125E-06	0.00260452743113799	0.0000681855167594067	0.500815343855901	0	0.00292215794095017
TIC2015-003F	0	0	0.0765854645151467	0.000243149521087179	0.0000159684682371066	0	0.0000389781665450167	0.919204113153	0.0000479966914515941	0.00386432948453201
TIC2015-003L	0	0	0.584092102328507	0.0000601740861837518	0	0	0.000897087494537869	0.412358643062498	0.0000362543786908558	0.00255573864958217
TIC2015_013	0	0	0	0	0	0	0	0	0	0
TIC2016-050A	0.000201879863747946	0	0.58838941614025	0.000660962928110654	0.0000837922779737982	0	0.00124061370391261	0.359015302270698	0.0145593416828665	0.0358486911324405
TIC2016-050AD	0	0	0.571638966548194	0.000297508930139834	0.000105043525941725	0	0.00158639214564565	0.422990716497866	0.000692836985949097	0.00268853536626403
TIC2016-050AW	0	0	0.405094971212887	0.00030503232349945	0.0000737143380360039	0.0000210484483184957	0.00133471567501852	0.585085306883797	0.000246421873474435	0.0078387892449688
TIC2016-050B	0.0000198070833566997	0	0.614965797566171	0.000226695933233849	0.000020448648297589	0	0.00109560579020362	0.348582663784639	0.010171879607436	0.0249171015866621
TIC2016-050AH	0.192898510703824	0	0	0	0	0	0	0.00123014803001894	0.626265442705231	0.179605898560926
TIC2016-050C	0.278945541603634	0	0	0	0	0	0	0.000296054100669295	0.164641758979026	0.55611664531667
TIC2018-003D	0.28226162514132	0	0	0	0	0	0	0.00252022791383992	0.47461690313797	0.24060124380687
TIC2018-003H	0.373150163034532	0	0	0	0	0	0	0	0.329789938804866	0.297059898160603
TIC2018-003M	0.621055159836154	0	0	0	0	0.0000133488346577975	0	0.000850904161121148	0	0.378080587168067
TIC2016-050D	9.69022013164534E-06	0	0.759779681164025	0.000763070146634658	0.000209262715895099	0.0000280571374374721	0.0655850181271812	0.169502320811651	0.00111537251291068	0.00300752716413316
TIC2018-003A	0	0	0.842028121776155	0.00217707202833867	0	0	0.0100867597518608	0.144057498229826	0.00165054821381947	0
TIC2018-003B	0	0	0.618213839339737	0.0595682457400044	0	0	0	0.322217914920259	0	0
TIC2018-003C	0	0	0.61612461534068	0	0	0	0	0.38387538465932	0	0
